0,1,2,3,4,5
"2020-06-28, 19:00", ,Panevėžys,2 : 1,Banga,„Aukštaitijos“ stadionas
"2020-06-28, 17:00", ,Riteriai,0 : 7,Žalgiris,LFF stadionas
"2020-06-28, 15:00", ,K. Žalgiris,0 : 1,Sūduva,„Kauno Žalgirio“ FA stadionas
"2020-06-24, 20:00", ,Banga,1 : 1,Riteriai,Gargždų m. stadionas
"2020-06-24, 19:00", ,Žalgiris,2 : 3,K. Žalgiris,LFF stadionas
"2020-06-24, 17:00", ,Sūduva,3 : 0,Panevėžys,Marijampolės futbolo arenos stadionas
"2020-06-20, 19:00", ,Sūduva,1 : 1,Žalgiris,Marijampolės futbolo arenos stadionas
"2020-06-20, 17:00", ,Banga,1 : 1,K. Žalgiris,Gargždų m. stadionas
"2020-06-19, 19:00", ,Riteriai,1 : 1,Panevėžys,LFF stadionas
"2020-06-14, 17:00", ,Riteriai,1 : 3,Sūduva,LFF stadionas
"2020-06-13, 17:00", ,Banga,0 : 1,Žalgiris,Gargždų m. stadionas
"2020-06-13, 13:00", ,K. Žalgiris,2 : 0,Panevėžys,„Kauno Žalgirio“ FA stadionas
"2020-06-07, 17:00", ,Riteriai,0 : 1,Banga,LFF stadionas
"2020-06-06, 17:00", ,Panevėžys,1 : 3,Sūduva,„Aukštaitijos“ stadionas
"2020-06-06, 13:00", ,K. Žalgiris,0 : 1,Žalgiris,„Kauno Žalgirio“ FA stadionas
"2020-06-01, 18:00", ,Sūduva,1 : 0,K. Žalgiris,Marijampolės futbolo arenos stadionas
"2020-05-30, 17:00", ,Banga,2 : 0,Panevėžys,Gargždų m. stadionas
"2020-05-30, 15:00", ,Žalgiris,0 : 1,Riteriai,LFF stadionas
"2020-03-08, 18:00", ,Riteriai,0 : 3,K. Žalgiris,„Sportima“
"2020-03-07, 17:00", ,Sūduva,1 : 0,Banga,Marijampolės futbolo arenos maniežas
"2020-03-06, 19:30", ,Žalgiris,4 : 0,Panevėžys,„Sportima“
